被解救的姜戈,昆汀·塔伦蒂诺 Quentin Tarantino,2012,8.8,热血沸腾，那个低俗、性感的无耻混蛋又来了。
血战钢锯岭,梅尔·吉布森 Mel Gibson,2016,8.7,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
未麻的部屋,今敏 Satoshi Kon,1997,9.0,好的剧本是，就算你猜到了结局也猜不到全部。
头号玩家,史蒂文·斯皮尔伯格 Steven Spielberg,2018,8.7,写给影迷，动漫迷和游戏迷的一封情书。
七武士,黑泽明 Akira Kurosawa,1954,9.3,时代悲歌。
我是山姆,杰茜·尼尔森 Jessie Nelson,2001,9.0,爱并不需要智商 。
寄生虫,奉俊昊 Joon-ho Bong,2019,8.8,中国家庭的喜怒哀乐忍。
新世界,朴勋政 Hoon-jung Park,2013,8.9,要做就做得狠一点，这样才能活下去。
电锯惊魂,詹姆斯·温 James Wan,2004,8.7,真相就在眼前。
模仿游戏,莫滕·泰杜姆 Morten Tyldum,2014,8.7,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
哈利·波特与火焰杯,迈克·内威尔 Mike Newell,2005,8.7,偷情本没有这样美。
黑客帝国3：矩阵革命,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,2003,8.8,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
卢旺达饭店,特瑞·乔治 Terry George,2004,8.9,当这个世界闭上双眼，他却敞开了怀抱。
上帝之城,费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund,2002,9.0,被上帝抛弃了的上帝之城。
三块广告牌,马丁·麦克唐纳 Martin McDonagh,2017,8.7,怼天怼地，你走后，她与世界为敌。
风之谷,宫崎骏 Hayao Miyazaki,1984,8.9,动画片的圣经。
疯狂原始人,科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,2013,8.7,老少皆宜，这就是好莱坞动画的魅力。
谍影重重3,保罗·格林格拉斯 Paul Greengrass,2007,8.8,像吃了苏打饼一样干脆的电影。
英雄本色,吴宇森 John Woo,1986,8.6,英雄泪短，兄弟情长。 
你的名字。,新海诚 Makoto Shinkai,2016,8.5,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
头脑特工队,彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen,2015,8.7,愿我们都不用长大，每一座城堡都能永远存在。
达拉斯买家俱乐部,让-马克·瓦雷 Jean-Marc Vallée,2013,8.8,Jared Leto的腿比女人还美！
纵横四海,吴宇森 John Woo,1991,8.8,香港浪漫主义警匪动作片的巅峰之作。
心迷宫,忻钰坤 Yukun Xin,2014,8.7,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
岁月神偷,罗启锐 Alex Law,2010,8.7,岁月流逝，来日可追。
记忆碎片,克里斯托弗·诺兰 Christopher Nolan,2000,8.7,一个针管引发的血案。
惊魂记,阿尔弗雷德·希区柯克 Alfred Hitchcock,1960,9.0,故事的反转与反转，分裂电影的始祖。
忠犬八公物语,Seijirô Kôyama,1987,9.2,养狗三日，便会对你终其一生。
海街日记,是枝裕和 Hirokazu Koreeda,2015,8.8,是枝裕和的家庭习作。
荒蛮故事,达米安·斯兹弗隆 Damián Szifron,2014,8.8,始于荒诞，止于更荒诞。
九品芝麻官,王晶 Jing Wong,1994,8.6,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
贫民窟的百万富翁,丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,2008,8.6,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
真爱至上,理查德·柯蒂斯 Richard Curtis,2003,8.6,爱，是个动词。
东邪西毒,王家卫 Kar Wai Wong,1994,8.6,电影诗。
绿里奇迹,Frank Darabont,1999,8.9,天使暂时离开。
小偷家族,是枝裕和 Hirokazu Koreeda,2018,8.7,我们组成了家。
爱在午夜降临前,理查德·林克莱特 Richard Linklater,2013,8.8,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
无敌破坏王,瑞奇·莫尔 Rich Moore,2012,8.7,迪士尼和皮克斯拿错剧本的产物。
黑天鹅,达伦·阿罗诺夫斯基 Darren Aronofsky,2010,8.6,黑暗之美。
冰川时代,卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,2002,8.6,松鼠才是角儿。
你看起来好像很好吃,藤森雅也 Masaya Fujimori,2010,8.9,感情不分食草或者食肉。
疯狂的石头,宁浩 Hao Ning,2006,8.5,中国版《两杆大烟枪》。
萤火虫之墓,高畑勋 Isao Takahata,1988,8.7,幸福是生生不息，却难以触及的远。 
雨人,巴瑞·莱文森 Barry Levinson,1988,8.7,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
色，戒,李安 Ang Lee,2007,8.5,假戏真情，爱欲深海
恐怖游轮,克里斯托弗·史密斯 Christopher Smith,2009,8.5,不要企图在重复中寻找已经失去的爱。
雨中曲,斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly,1952,9.1,骨灰级歌舞片。
恋恋笔记本,尼克·卡索维茨 Nick Cassavetes,2004,8.6,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
魔女宅急便,宫崎骏 Hayao Miyazaki,1989,8.7,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
2001太空漫游,斯坦利·库布里克 Stanley Kubrick,1968,8.8,现代科幻电影的开山之作，最伟大导演的最伟大影片。
城市之光,Charles Chaplin,1931,9.3,永远的小人物，伟大的卓别林。
可可西里,陆川 Chuan Lu,2004,8.8,坚硬的信仰。
虎口脱险,杰拉尔·乌里 Gérard Oury,1966,8.9,永远看不腻的喜剧。
二十二,郭柯 Ke Guo,2015,8.7,有一些东西不应该被遗忘。
人工智能,史蒂文·斯皮尔伯格 Steven Spielberg,2001,8.7,对爱的执着，可以超越一切。
初恋这件小事,普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...<br>
                            2010,2016,8.6,我们都有权利不与自己的过去和解。
遗愿清单,罗伯·莱纳 Rob Reiner,2007,8.7,用剩余不多的时间，去燃烧整个生命。
大佛普拉斯,黄信尧 Hsin-yao Huang,2017,8.7,人们可以登上月球，却永远无法探索人们内心的宇宙。
奇迹男孩,斯蒂芬·卓博斯基 Stephen Chbosky,2017,8.6,世界不完美，爱会有奇迹。
罗生门,黑泽明 Akira Kurosawa,1950,8.8,人生的N种可能性。
终结者2：审判日,詹姆斯·卡梅隆 James Cameron,1991,8.8,少见的超越首部的续集，动作片中的经典。
牯岭街少年杀人事件,杨德昌 Edward Yang,1991,8.9,弱者送给弱者的一刀。
